match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.4,McGrath,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.5,McGrath,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.6,McGrath,Amelia Kerr,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.1,Healy,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.2,Healy,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.3,McGrath,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.4,McGrath,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.5,McGrath,Matthews,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,9.6,McGrath,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.1,McGrath,Saika Ishaque,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.2,McGrath,Saika Ishaque,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.3,McGrath,Saika Ishaque,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.4,McGrath,Saika Ishaque,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.5,Healy,Saika Ishaque,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,10.6,Healy,Saika Ishaque,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.1,Healy,Jintimani Kalita,2,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.2,Healy,Jintimani Kalita,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.3,McGrath,Jintimani Kalita,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.4,Healy,Jintimani Kalita,1,0,0,0,0,0,,,
